Productos;Tamaños de los productos;Cantidad;Cliente que lo solicito;Nombre del empleado que lo entrega;Apellido del empleado;ID del empleado;Observaciones
 papas,gourmet termino medio bbq,ahumado Filet;mediano,pequeño,pequeño;2,1,3;Lane Margetts;Donica;Jest;377724;Horizontal mission-critical Graphic Interface
 ensalada,bbq ensalada Filet,con salsa bbq papas;mediano,Grande,200 ml;2,3,3;Hagen Evensden;Rozamond;Neal;753564;Proactive content-based capacity
 chocolate,Filet chocolate con salsa,chocolate termino medio ahumado;150 ml,pequeño,pequeño;2,4,5;Yvor Danforth;Tessie;Armin;531614;Centralized disintermediate policy
 Filet,chocolate gourmet rico,Filet gourmet termino medio;mediano,mediano,200 ml;3,3,4;Kyle Lambrook;Tami;Curreen;971425;Synergized asymmetric strategy
 bbq,gourmet ensalada rico,Filet bbq;150 ml,mediano,200 ml;3,4,4;Hally Imeson;Allsun;Venditto;688559;Synchronised object-oriented initiative
 ahumado,termino medio ensalada bbq,Filet termino medio;pequeño,personal,500 ml;4,1,4;Delano Renackowna;Glen;Lovat;167949;Synchronised demand-driven info-mediaries
 termino medio,con salsa termino medio ahumado,Filet gourmet ahumado;3 onzas,personal,personal;1,2,3;Vinita Chaddock;Wynnie;Tiley;985065;Automated eco-centric structure
 gourmet,papas Filet ahumado,papas papas papas;mediano,mediano,pequeño;1,1,2;Maddy Pedrozzi;Joye;Milesap;856213;Visionary clear-thinking ability
 con salsa,ensalada ensalada bbq,Filet ahumado termino medio;8 onzas,pequeño,pequeño;1,3,4;Rafaello Sarrell;Laryssa;Mosco;651896;Front-line static utilisation
 papas rico,papas gourmet bbq,con salsa bbq bbq;8 onzas,500 ml,500 ml;1,4,1;Jordana McAlinden;Fidelity;Enderle;3460;Open-source analyzing alliance
 papas papas,chocolate ensalada papas,ensalada ahumado ahumado;Grande,5 onzas,200 ml;3,1,5;Phyllys Latchford;Jana;Storr;266663;Switchable global standardization
 papas ensalada,bbq gourmet chocolate,bbq ahumado papas;200 ml,Familiar,150 ml;2,2,3;Elyssa De Metz;Libbey;Roggerone;850743;Right-sized heuristic methodology
 papas chocolate,gourmet con salsa papas,papas con salsa ahumado;Grande,pequeño,pequeño;2,4,1;Colly Sawbridge;Kristine;Pordal;937807;Extended well-modulated pricing structure
 papas Filet,gourmet gourmet rico,bbq con salsa;personal,pequeño,personal;3,5,2;Jodi Gertz;Andi;Annesley;303537;Automated even-keeled service-desk
 papas bbq,chocolate Filet con salsa,ahumado chocolate con salsa;Familiar,personal,500 ml;1,3,1;Legra Raycroft;Danyette;Belk;68381;Devolved upward-trending product
 papas ahumado,Filet rico ensalada,bbq ahumado rico;8 onzas,500 ml,200 ml;1,4,4;Lois Stribbling;Stephani;Cloney;463063;Adaptive neutral utilisation
 papas termino medio,chocolate con salsa ahumado,ensalada;8 onzas,5 onzas,mediano;2,1,1;Lynnette Peres;Joelynn;Vickress;321020;Secured zero defect array
 papas gourmet,ensalada gourmet,ensalada ensalada Filet;200 ml,200 ml,personal;3,1,3;Dean Brookz;Manya;Stolberg;659202;Switchable contextually-based initiative
 papas con salsa,ahumado ahumado termino medio,chocolate papas papas;Grande,5 onzas,personal;5,1,4;Kathy Marsland;Doti;Wedgwood;700633;Optimized holistic frame
 ensalada rico,con salsa ahumado Filet,Filet;personal,Familiar,Familiar;1,3,4;Celine Conrath;Karia;Breedy;478631;Face to face tangible model
 ensalada papas,termino medio papas Filet,ahumado termino medio;pequeño,personal,5 onzas;2,5,3;Sutherland Billingham;Ronda;Bountiff;581593;Re-contextualized fault-tolerant focus group
 ensalada ensalada,chocolate papas papas,papas Filet Filet;3 onzas,personal,200 ml;5,5,4;Aila Wahlberg;Agnes;Edsall;555840;Down-sized bandwidth-monitored Graphic Interface
 ensalada chocolate,chocolate rico gourmet,termino medio rico chocolate;5 onzas,200 ml,Grande;3,5,4;Mandie McIlenna;Jacquette;Costellow;63183;Ameliorated disintermediate focus group
 ensalada Filet,chocolate papas papas,ahumado gourmet ahumado;3 onzas,personal,pequeño;1,5,1;Rowena Stevenson;Joice;Helsby;305077;Business-focused leading edge leverage
 ensalada bbq,papas ensalada rico,bbq Filet con salsa;Grande,Familiar,pequeño;2,2,2;Marlane Whild;Dinnie;Dodridge;810138;Universal 6th generation portal
 ensalada ahumado,papas termino medio ensalada,bbq rico chocolate;3 onzas,mediano,5 onzas;1,4,4;Lavinie Camier;Saba;Grouse;896790;Decentralized actuating toolset
 ensalada termino medio,ahumado Filet Filet,Filet ensalada con salsa;500 ml,8 onzas,500 ml;2,4,3;Sabine Janak;Beryl;Nicely;812175;Multi-layered human-resource strategy
